,City,Country,Lat,Temp,Humidity,Wind Speed,Cloudiness
0,bluff,AU,-23.58,89.95,47,9.55,44
1,sao filipe,CV,14.9,70.01,97,17.72,0
2,paris,FR,48.86,48.51,66,6.93,0
3,kodiak,US,39.95,10.78,47,9.17,1
4,ikalamavony,MG,-21.17,67.9,94,2.95,32
5,san patricio,PY,-26.98,75.64,79,4.41,0
6,hilo,US,19.71,63.77,77,4.7,90
7,talnakh,RU,69.49,8.9,83,16.49,76
8,osypenko,UA,48.04,39.2,80,11.18,0
9,jamestown,AU,-33.21,62.41,77,12.57,0
10,hithadhoo,MV,-0.6,80.9,100,7.43,32
11,santa isabel do rio negro,BR,-0.41,77.44,92,1.39,32
12,takoradi,GH,4.89,80.45,100,7.31,12
13,bredasdorp,ZA,-34.53,70.95,83,1.12,0
14,cherskiy,RU,68.75,0.04,74,3.18,76
15,dikson,RU,73.51,9.04,100,13.35,48
16,busselton,AU,-33.64,82.96,20,9.66,80
17,pringsewu,ID,-5.36,83.33,81,3.51,64
18,monduli,TZ,-3.3,66.5,98,4.41,0
19,puerto ayora,EC,-0.74,77.66,100,7.2,0
20,port alfred,ZA,-33.59,75.63,86,5.01,0
21,kruisfontein,ZA,-34.0,68.12,75,6.08,0
22,dharchula,IN,29.85,38.78,72,1.39,0
23,tasiilaq,GL,65.61,17.6,40,12.75,32
24,atar,MR,20.52,45.58,35,2.84,0
25,hofn,IS,64.25,28.66,100,9.22,20
26,punta arenas,CL,-53.16,39.11,93,4.7,90
27,adolfo lopez mateos,MX,26.8,59.4,88,1.01,68
28,kilindoni,TZ,-7.91,84.91,99,12.01,0
29,nanortalik,GL,60.14,27.53,100,48.03,48
30,ushuaia,AR,-54.81,37.4,100,3.36,20
31,roebourne,AU,-20.77,105.65,20,9.66,0
32,albany,US,42.65,11.73,60,9.17,1
33,lyubim,RU,58.36,18.31,90,21.74,88
34,rikitea,PF,-23.12,81.17,96,16.15,44
35,tiksi,RU,71.64,12.5,71,10.67,56
36,qaanaaq,GL,77.48,-8.43,77,5.53,48
37,tessalit,ML,20.2,47.11,29,3.96,0
38,new norfolk,AU,-42.78,51.51,58,13.87,40
39,carnarvon,ZA,-30.97,64.66,31,2.73,0
40,kudahuvadhoo,MV,2.67,83.33,99,9.44,44
41,hermanus,ZA,-34.42,72.55,78,3.0,0
42,vaini,IN,15.34,84.2,21,3.36,0
43,oranjemund,ZA,-28.55,62.72,94,7.76,0
44,vostok,RU,46.45,26.05,44,5.64,0
45,butaritari,KI,3.07,75.1,100,0.94,92
46,san policarpo,PH,12.18,81.53,85,11.01,36
47,udachnyy,RU,66.42,26.86,76,5.97,88
48,barrow,AR,-38.31,63.17,60,9.89,12
49,port elizabeth,US,39.31,23.52,41,16.26,40
50,roma,IT,41.89,47.07,81,2.24,0
51,pagudpud,PH,18.56,84.2,66,11.41,20
52,thinadhoo,MV,0.53,82.84,100,9.55,76
53,iqaluit,CA,63.75,-22.01,74,8.05,5
54,moba,CD,-7.04,70.91,97,5.08,36
55,yellowknife,CA,62.45,-0.23,84,5.82,5
56,alofi,NU,-19.06,78.8,74,9.17,0
57,poykovskiy,RU,61.23,12.2,72,8.95,0
58,atuona,PF,-9.8,80.9,100,16.15,56
59,halifax,CA,44.65,15.26,78,5.82,40
60,codrington,AU,-28.95,87.08,58,17.22,0
61,avarua,CK,-21.21,77.0,73,5.82,48
62,yaan,NG,7.38,73.03,94,6.42,0
63,osa,RU,57.28,34.55,94,15.14,88
64,bom jesus,BR,-9.08,67.81,91,2.84,56
65,lompoc,US,34.64,52.34,87,25.28,90
66,vanimo,PG,-2.67,82.43,100,9.44,44
67,sitka,US,37.17,18.0,73,5.01,0
68,beyneu,KZ,45.32,44.0,62,6.2,0
69,buraydah,SA,26.33,60.8,55,18.34,0
70,nome,US,30.04,35.19,86,3.36,1
71,cape town,ZA,-33.93,68.79,88,4.7,0
72,chuy,UY,-33.69,69.43,97,7.09,88
73,tuktoyaktuk,CA,69.44,-0.41,84,4.7,5
74,lavrentiya,RU,65.58,28.16,95,9.1,92
75,kavali,IN,14.91,97.6,32,7.65,0
